Code,Name,Return,Noise,Derivative
185750,종근당,0.11,0.71,0.1
036930,주성엔지니어링,1.02,0.71,-0.07
051490,나라엠앤디,1.2,0.86,-0.19
079950,인베니아,1.79,0.9,-0.16
225220,제놀루션,1.57,0.91,-0.07
148150,세경하이테크,7.27,0.99,-0.14
011930,신성이엔지,1.11,1.01,-0.32
131220,대한과학,0.43,1.02,0.02
047810,한국항공우주,1.64,1.13,0.16
039200,오스코텍,0.21,1.2,-0.19
100790,미래에셋벤처투자,4.04,1.24,-0.65
025980,아난티,1.89,1.29,-0.35
196170,알테오젠,-3.07,1.75,0.14
009830,한화솔루션,0.19,1.79,-0.21
011790,SKC,4.38,1.83,-0.32
267270,현대건설기계,5.32,1.85,-0.3
009540,한국조선해양,1.32,1.88,0.74
005390,신성통상,0.46,1.89,0.18
137310,에스디바이오센서,3.99,1.91,-0.55
103140,풍산,3.5,1.91,0.07
083500,에프엔에스테크,1.0,1.96,-0.27
058470,리노공업,3.34,1.96,0.19
086390,유니테스트,3.53,2.11,-0.1
263750,펄어비스,1.62,2.15,-0.21
012330,현대모비스,5.29,2.55,-0.23
248070,솔루엠,3.33,2.62,-0.31
138040,메리츠금융지주,0.19,2.84,0.2
042000,카페24,5.9,2.88,-1.14
078350,한양디지텍,-0.35,2.89,-0.05
383220,F&F,3.5,3.19,0.03
143240,사람인에이치알,4.12,3.21,-0.11
096530,씨젠,6.14,3.26,-0.11
005870,휴니드,1.82,3.33,0.41
013890,지누스,4.24,3.44,0.53
011090,에넥스,6.4,3.5,-0.31
042700,한미반도체,5.58,3.6,-0.15
307950,현대오토에버,7.06,3.69,-0.35
161890,한국콜마,3.45,3.88,0.04
027830,대성창투,6.63,4.34,-0.48
352910,오비고,3.66,4.79,0.07
049950,미래컴퍼니,1.17,4.83,0.8
064350,현대로템,4.83,4.94,0.21
079940,가비아,4.43,4.98,0.11
141080,레고켐바이오,-0.18,5.1,0.35
267250,현대중공업지주,8.08,5.38,0.21
052400,코나아이,4.88,5.42,-1.03
099320,쎄트렉아이,6.62,5.57,-0.02
041830,인바디,2.59,5.87,0.21
214370,케어젠,3.3,6.11,1.01
092870,엑시콘,6.23,6.12,0.1
214150,클래시스,9.76,6.16,0.12
171090,선익시스템,10.2,6.2,-0.4
220260,켐트로스,1.74,6.26,1.46
017960,한국카본,4.43,7.26,0.53
032500,케이엠더블유,5.92,7.69,0.39
190510,나무가,11.2,8.24,0.1
086280,현대글로비스,13.29,10.44,0.24
004380,삼익THK,17.71,16.41,0.38
